Alcohol,Alcohol_12months,Alcohol_ever,Marijuana,Marijuana_30days,Marijuana_12months,Marijuana_ever,Heroin,Heroin_30days,Heroin_12months,Heroin_ever,Cocaine,Cocaine_30days,Cocaine_12months,Cocaine_ever,Age,Sex,Race,State,time_of_use,drug_type,num_drugs,Age_group
1,0,1,0,0,0,2,0,0,0,2,1,1,0,1,54,Female, Black (NH),IA,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,0,1,2,1,0,2,2,1,0,1,2,1,26,Male, Hispanic,-1,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,25-34
2,0,1,2,2,1,1,2,2,1,1,0,0,0,2,20,Male, 2+ Races (NH),MO,Past 30 days,"('Marijuana', 'Heroin')",More than one drugs,18-24
1,0,1,0,1,1,1,0,0,0,2,0,2,2,1,37,Male, 2+ Races (NH),FL,Time of Arrest,"('Alcohol',)",Alcohol,35-44
0,0,2,1,1,1,1,0,0,0,2,0,0,0,2,34,Male, Black (NH),MS,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,0,1,1,1,1,1,0,0,0,2,2,2,2,1,25,Female, White (NH),MS,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,0,1,2,2,2,1,1,1,2,1,1,2,2,1,36,Female, White (NH),NC,Time of Arrest,"('Heroin', 'Cocaine')",More than one drugs,35-44
1,0,1,2,1,2,1,1,1,2,1,2,2,2,1,24,Male, 2+ Races (NH),IN,Time of Arrest,"('Heroin', 'Alcohol')",More than one drugs,18-24
2,1,1,0,1,1,1,0,0,0,2,0,2,2,1,40,Male, White (NH),MO,Past 30 days,"('Marijuana',)",Marijuana,35-44
0,0,2,0,2,2,1,0,0,0,2,0,0,0,2,46,Female, Black (NH),CA,More than a year ago,"('Marijuana',)",Marijuana,45-54
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,48,Female, Black (NH),TX,More than a year ago,"('Alcohol',)",Alcohol,45-54
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,22,Male, Hispanic,TX,Never used,(),No use,18-24
2,0,1,0,2,0,1,0,0,0,2,0,2,0,1,47,Male, Black (NH),MO,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,1,1,2,1,2,1,0,0,0,2,2,2,2,1,25,Male, White (NH),TX,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,0,1,1,1,1,1,0,0,0,2,2,2,1,1,49,Male, White (NH),NY,Time of Arrest,"('Marijuana',)",Marijuana,45-54
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,31,Male, White (NH),OH,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,2,1,0,2,2,1,0,0,0,2,0,0,0,2,53,Male, 2+ Races (NH),FL,Time of Arrest,"('Alcohol',)",Alcohol,45-54
-2,2,1,0,2,2,1,0,0,0,2,0,0,0,2,54,Female, Hispanic,FL,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,0,1,1,1,0,1,0,0,0,2,0,0,0,2,51,Male, Black (NH),PA,Time of Arrest,"('Marijuana',)",Marijuana,45-54
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,60,Female, 2+ Races (NH),MO,More than a year ago,"('Alcohol',)",Alcohol,55-64
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,43,Female, 2+ Races (NH),NC,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,0,2,1,1,0,0,0,2,0,0,0,2,31,Female, Black (NH),LA,Past 12 months,"('Marijuana',)",Marijuana,25-34
2,2,1,2,1,1,1,0,0,0,2,1,1,1,1,50,Male, Black (NH),IL,Time of Arrest,"('Cocaine',)",Cocaine,45-54
2,0,1,0,2,1,1,0,0,0,2,0,2,2,1,32,Female, White (NH),OH,Past 12 months,"('Marijuana',)",Marijuana,25-34
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,59,Male, Hispanic,TX,More than a year ago,"('Alcohol',)",Alcohol,55-64
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,32,Male, Hispanic,OH,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,2,1,0,1,0,0,0,2,0,0,0,2,54,Male, 2+ Races (NH),CA,Past 30 days,"('Marijuana',)",Marijuana,45-54
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,64,Male, 2+ Races (NH),IL,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,55-64
2,2,1,2,2,2,1,0,0,0,2,2,2,2,1,34,Female, Asian/Native Hawaiian/Other Pacific Islander (NH),HI,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,27,Female, Hispanic,NV,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,1,1,1,1,1,1,0,0,0,2,0,0,0,2,20,Female, Black (NH),CA,Time of Arrest,"('Marijuana',)",Marijuana,18-24
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,45,Female, White (NH),VA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,55,Male, White (NH),FL,Time of Arrest,"('Cocaine',)",Cocaine,55-64
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,33,Male, Uncategorized - Missing,PA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,45,Male, White (NH),IL,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,2,1,0,2,2,1,0,0,0,2,0,0,0,2,42,Female, Hispanic,CA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
1,2,1,0,0,0,2,0,0,0,2,0,0,0,2,59,Male, White (NH),TX,Time of Arrest,"('Alcohol',)",Alcohol,55-64
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,52,Female, 2+ Races (NH),OK,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,45-54
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,45,Male, Black (NH),WI,Past 30 days,"('Marijuana',)",Marijuana,45-54
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,55,Male, White (NH),PA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,55-64
1,1,1,0,1,1,1,0,0,0,2,0,1,1,1,40,Male, White (NH),SC,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,2,1,0,2,2,1,0,0,0,2,0,0,0,2,43,Female, White (NH),CA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
0,0,2,0,1,0,1,0,2,0,1,0,2,0,1,54,Male, White (NH),SC,Past 30 days,"('Marijuana',)",Marijuana,45-54
1,2,1,0,0,0,2,0,0,0,2,0,0,0,2,23,Male, Black (NH),IL,Time of Arrest,"('Alcohol',)",Alcohol,18-24
1,1,1,1,1,0,1,0,0,0,2,1,1,0,1,52,Female, Black (NH),PA,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,2,2,0,1,0,0,0,2,2,2,0,1,27,Female, White (NH),CA,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,49,Male, Black (NH),AR,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,1,1,2,1,1,1,0,0,0,2,0,0,0,2,41,Male, Hispanic,NC,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,52,Male, Hispanic,FL,More than a year ago,"('Alcohol',)",Alcohol,45-54
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,64,Male, Black (NH),NC,Never used,(),No use,55-64
2,0,1,2,2,0,1,0,0,0,2,2,2,0,1,45,Female, White (NH),NM,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,41,Female, Hispanic,CA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,1,1,2,2,2,1,2,2,2,1,2,1,1,1,52,Male, White (NH),IN,Past 30 days,"('Cocaine',)",Cocaine,45-54
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,62,Male, White (NH),TN,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,55-64
1,1,1,0,2,2,1,0,0,0,2,0,2,2,1,55,Male, Black (NH),CA,Time of Arrest,"('Alcohol',)",Alcohol,55-64
1,0,1,2,2,0,1,0,0,0,2,1,1,0,1,53,Male, Black (NH),TX,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,2,2,0,1,0,0,0,2,1,1,0,1,47,Female, 2+ Races (NH),LA,Time of Arrest,"('Cocaine',)",Cocaine,45-54
2,1,1,0,1,0,1,0,0,0,2,0,0,0,2,50,Female, 2+ Races (NH),TN,Past 30 days,"('Marijuana',)",Marijuana,45-54
2,1,1,0,1,1,1,0,0,0,2,0,0,0,2,33,Male, Hispanic,FL,Past 30 days,"('Marijuana',)",Marijuana,25-34
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,47,Male, Black (NH),GA,More than a year ago,"('Alcohol',)",Alcohol,45-54
2,1,1,0,1,2,1,0,0,0,2,0,0,0,2,30,Male, Black (NH),SC,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,1,1,0,0,0,2,0,0,0,2,2,1,2,1,50,Male, Hispanic,CA,Time of Arrest,"('Alcohol',)",Alcohol,45-54
1,1,1,0,1,1,1,0,0,0,2,0,2,2,1,34,Female, White (NH),TX,Time of Arrest,"('Alcohol',)",Alcohol,25-34
1,1,1,2,1,0,1,0,0,0,2,0,0,0,2,45,Male, 2+ Races (NH),OK,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,1,1,0,1,1,1,0,0,0,2,0,0,0,2,56,Male, White (NH),CA,Past 30 days,"('Marijuana',)",Marijuana,55-64
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,24,Male, Hispanic,PR,More than a year ago,"('Alcohol',)",Alcohol,18-24
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,66,Male, White (NH),CA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,64+
2,2,1,0,2,2,1,0,0,0,2,0,2,2,1,27,Female, White (NH),CT,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Male, Hispanic,FL,Never used,(),No use,18-24
1,1,1,1,1,2,1,0,0,0,2,2,2,2,1,62,Male, 2+ Races (NH),MD,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,55-64
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,33,Female, Hispanic,HI,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
1,1,1,0,1,1,1,0,0,0,2,0,2,2,1,32,Male, Hispanic,TX,Time of Arrest,"('Alcohol',)",Alcohol,25-34
1,1,1,0,2,0,1,0,2,0,1,0,2,0,1,73,Male, White (NH),OK,Time of Arrest,"('Alcohol',)",Alcohol,64+
2,0,1,0,0,0,2,0,0,0,2,0,2,2,1,42,Male, Hispanic,MI,More than a year ago,"('Cocaine', 'Alcohol')",More than one drugs,35-44
2,2,1,0,2,2,1,0,0,0,2,0,1,1,1,44,Male, Hispanic,TX,Past 30 days,"('Cocaine',)",Cocaine,35-44
0,0,2,0,2,0,1,0,0,0,2,0,2,0,1,33,Female, White (NH),NC,More than a year ago,"('Marijuana', 'Cocaine')",More than one drugs,25-34
2,0,1,0,2,1,1,0,0,0,2,0,0,0,2,26,Male, Black (NH),NY,Past 12 months,"('Marijuana',)",Marijuana,25-34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Male, Hispanic,TX,Never used,(),No use,25-34
2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,38,Male, 2+ Races (NH),PA,Time of Arrest,"('Heroin',)",Heroin,35-44
1,1,1,0,2,0,1,0,0,0,2,0,0,0,2,23,Male, White (NH),MI,Time of Arrest,"('Alcohol',)",Alcohol,18-24
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,43,Female, Hispanic,AZ,More than a year ago,"('Alcohol',)",Alcohol,35-44
2,0,1,0,1,1,1,0,0,0,2,0,1,1,1,35,Male, Black (NH),VA,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,35-44
1,1,1,2,1,0,1,0,0,0,2,2,2,0,1,72,Male, White (NH),LA,Time of Arrest,"('Alcohol',)",Alcohol,64+
1,1,1,2,1,0,1,0,0,0,2,1,1,0,1,52,Male, Black (NH),LA,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,45-54
0,0,2,0,2,0,1,0,0,0,2,0,2,0,1,43,Female, 2+ Races (NH),PA,More than a year ago,"('Marijuana', 'Cocaine')",More than one drugs,35-44
1,0,1,1,1,0,1,0,0,0,2,0,0,0,2,54,Male, Black (NH),PA,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,45-54
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,20,Male, Black (NH),MI,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,2,1,1,1,1,1,0,0,0,2,0,0,0,2,38,Male, Black (NH),NV,Time of Arrest,"('Marijuana',)",Marijuana,35-44
2,1,1,0,1,1,1,0,0,0,2,0,1,1,1,32,Male, Black (NH),VA,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,25-34
1,1,1,1,1,1,1,0,0,0,2,0,0,0,2,25,Male, 2+ Races (NH),MI,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,1,1,1,0,0,0,2,0,2,2,1,31,Male, White (NH),IA,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,0,1,0,2,2,1,0,0,0,2,0,0,0,2,39,Female, Black (NH),GA,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,0,1,1,1,0,1,0,0,0,2,0,0,0,2,25,Male, Black (NH),MD,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,0,1,0,1,1,1,0,0,0,2,0,1,1,1,37,Male, White (NH),OH,Past 30 days,"('Marijuana', 'Cocaine')",More than one drugs,35-44
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,45,Female, Black (NH),SC,Past 30 days,"('Marijuana',)",Marijuana,45-54
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,45,Male, Black (NH),TX,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
0,0,2,1,1,1,1,0,0,0,2,0,0,0,2,34,Female, White (NH),IA,Time of Arrest,"('Marijuana',)",Marijuana,25-34
1,0,1,0,2,0,1,0,0,0,2,0,0,0,2,29,Male, 2+ Races (NH),PA,Time of Arrest,"('Alcohol',)",Alcohol,25-34
1,0,1,0,2,2,1,0,0,0,2,0,0,0,2,65,Male, Black (NH),CA,Time of Arrest,"('Alcohol',)",Alcohol,64+
1,1,1,2,2,2,1,0,0,0,2,2,2,2,1,42,Female, Black (NH),VA,Time of Arrest,"('Alcohol',)",Alcohol,35-44
1,1,1,0,0,0,2,0,0,0,2,0,0,0,2,33,Male, Black (NH),IL,Time of Arrest,"('Alcohol',)",Alcohol,25-34
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,45,Male, Black (NH),TX,Past 30 days,"('Marijuana',)",Marijuana,45-54
1,1,1,0,2,0,1,0,0,0,2,0,0,0,2,45,Male, Black (NH),NY,Time of Arrest,"('Alcohol',)",Alcohol,45-54
1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,49,Female, White (NH),VA,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,45-54
1,0,1,1,2,2,1,0,0,0,2,0,0,0,2,53,Male, Black (NH),IL,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,45-54
1,0,1,0,1,0,1,0,0,0,2,0,2,0,1,53,Male, Hispanic,IL,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,0,1,2,2,2,1,0,0,0,2,1,1,1,1,45,Male, White (NH),TX,Time of Arrest,"('Cocaine',)",Cocaine,45-54
1,1,1,0,1,2,1,0,0,0,2,0,1,2,1,45,Female, Hispanic,AL,Time of Arrest,"('Alcohol',)",Alcohol,45-54
2,0,1,2,1,1,1,2,1,1,1,2,1,1,1,50,Male, Hispanic,MI,Past 30 days,"('Marijuana', 'Heroin', 'Cocaine')",More than one drugs,45-54
2,0,1,1,1,2,1,0,0,0,2,1,2,2,1,56,Male, Black (NH),FL,Time of Arrest,"('Marijuana', 'Cocaine')",More than one drugs,55-64
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,31,Male, Black (NH),NY,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,34,Male, Hispanic,CA,More than a year ago,"('Alcohol',)",Alcohol,25-34
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,62,Female, Black (NH),GA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,55-64
2,2,1,0,0,0,2,0,0,0,2,0,1,1,1,32,Male, White (NH),NY,Past 30 days,"('Cocaine',)",Cocaine,25-34
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,36,Male, Black (NH),PA,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
1,0,1,2,1,0,1,0,0,0,2,1,1,0,1,31,Male, Hispanic,SC,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,42,Female, White (NH),OH,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,54,Male, White (NH),WI,More than a year ago,"('Alcohol',)",Alcohol,45-54
1,2,1,2,1,2,1,0,0,0,2,2,2,2,1,41,Male, Hispanic,CA,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,2,1,0,1,0,1,0,0,0,2,0,0,0,2,32,Male, Black (NH),FL,Past 30 days,"('Marijuana',)",Marijuana,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,29,Male, Hispanic,NC,Never used,(),No use,25-34
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,50,Female, Black (NH),FL,More than a year ago,"('Alcohol',)",Alcohol,45-54
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,40,Male, Black (NH),NY,Never used,(),No use,35-44
1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,54,Male, 2+ Races (NH),AZ,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,0,1,2,2,0,1,0,0,0,2,2,2,0,1,46,Male, White (NH),TX,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
1,1,1,1,1,2,1,0,0,0,2,2,2,2,1,54,Male, Black (NH),MO,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,45-54
1,1,1,1,1,1,1,0,0,0,2,0,0,0,2,31,Male, 2+ Races (NH),PA,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,67,Male, Black (NH),TX,Never used,(),No use,64+
1,2,1,1,1,1,1,0,0,0,2,2,2,1,1,23,Male, Black (NH),CA,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,1,1,1,1,1,1,0,0,0,2,2,2,2,1,40,Male, White (NH),GA,Time of Arrest,"('Marijuana',)",Marijuana,35-44
2,0,1,0,0,0,2,0,0,0,2,1,1,0,1,36,Male, Hispanic,AR,Time of Arrest,"('Cocaine',)",Cocaine,35-44
1,2,1,1,1,0,1,0,0,0,2,2,2,0,1,24,Male, Hispanic,TX,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
2,2,1,2,1,2,1,1,1,1,1,2,2,2,1,28,Female, White (NH),NY,Time of Arrest,"('Heroin',)",Heroin,25-34
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,34,Female, Black (NH),VA,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,31,Male, Hispanic,TX,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
1,1,1,1,1,0,1,2,2,0,1,1,1,0,1,24,Male, Hispanic,NY,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,18-24
2,0,1,0,2,0,1,0,0,0,2,0,2,0,1,50,Male, Black (NH),IN,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,45-54
2,2,1,0,2,0,1,0,0,0,2,0,0,0,2,68,Male, Black (NH),NC,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,64+
2,2,1,2,2,2,1,0,0,0,2,0,0,0,2,43,Male, White (NH),MO,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,38,Male, Hispanic,FL,More than a year ago,"('Alcohol',)",Alcohol,35-44
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,26,Male, Hispanic,NV,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,35,Female, Hispanic,NV,Never used,(),No use,35-44
1,0,1,0,1,0,1,0,0,0,2,0,2,0,1,35,Male, Black (NH),IN,Time of Arrest,"('Alcohol',)",Alcohol,35-44
2,0,1,2,1,1,1,2,2,2,1,2,2,2,1,34,Female, White (NH),MO,Past 30 days,"('Marijuana',)",Marijuana,25-34
1,1,1,0,2,2,1,0,0,0,2,0,0,0,2,33,Male, White (NH),MO,Time of Arrest,"('Alcohol',)",Alcohol,25-34
2,0,1,1,1,0,1,0,0,0,2,0,0,0,2,41,Male, Black (NH),NC,Time of Arrest,"('Marijuana',)",Marijuana,35-44
0,0,2,0,2,0,1,0,0,0,2,0,0,0,2,34,Male, Hispanic,NM,More than a year ago,"('Marijuana',)",Marijuana,25-34
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,65,Male, Black (NH),FL,Never used,(),No use,64+
1,0,1,1,1,0,1,0,0,0,2,2,1,0,1,21,Male, Hispanic,TX,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,18-24
1,1,1,1,1,1,1,0,0,0,2,2,2,2,1,37,Male, 2+ Races (NH),IL,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,33,Male, Black (NH),VA,More than a year ago,"('Alcohol',)",Alcohol,25-34
2,0,1,2,2,2,1,1,1,1,1,2,2,2,1,25,Female, White (NH),NC,Time of Arrest,"('Heroin',)",Heroin,25-34
2,0,1,0,1,2,1,0,0,0,2,0,2,2,1,38,Male, Black (NH),MS,Past 30 days,"('Marijuana',)",Marijuana,35-44
1,0,1,1,1,0,1,0,0,0,2,1,1,0,1,55,Male, White (NH),CT,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,55-64
2,2,1,0,1,1,1,0,0,0,2,0,0,0,2,40,Male, Black (NH),IN,Past 30 days,"('Marijuana',)",Marijuana,35-44
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,47,Female, White (NH),KS,More than a year ago,"('Alcohol',)",Alcohol,45-54
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,28,Male, White (NH),MS,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,2,2,2,1,2,2,2,1,2,2,2,1,34,Female, White (NH),SD,More than a year ago,"('Marijuana', 'Heroin', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,2,1,0,0,0,2,0,0,0,2,0,2,2,1,41,Female, White (NH),MD,More than a year ago,"('Cocaine', 'Alcohol')",More than one drugs,35-44
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,25,Male, Black (NH),TX,More than a year ago,"('Alcohol',)",Alcohol,25-34
2,0,1,2,2,2,1,0,0,0,2,2,2,2,1,33,Female, White (NH),NC,More than a year ago,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,25-34
2,1,1,0,2,2,1,0,0,0,2,0,0,0,2,34,Male, Black (NH),FL,Past 12 months,"('Alcohol',)",Alcohol,25-34
1,2,1,0,1,2,1,0,0,0,2,0,0,0,2,28,Male, Asian/Native Hawaiian/Other Pacific Islander (NH),MI,Time of Arrest,"('Alcohol',)",Alcohol,25-34
1,1,1,2,1,1,1,0,0,0,2,1,1,1,1,44,Male, Hispanic,CA,Time of Arrest,"('Cocaine', 'Alcohol')",More than one drugs,35-44
1,1,1,0,2,2,1,0,0,0,2,0,0,0,2,51,Male, White (NH),NY,Time of Arrest,"('Alcohol',)",Alcohol,45-54
1,1,1,2,2,2,1,0,0,0,2,2,2,1,1,43,Female, White (NH),LA,Time of Arrest,"('Alcohol',)",Alcohol,35-44
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,29,Male, Black (NH),-2,Never used,(),No use,25-34
2,0,1,1,1,1,1,0,0,0,2,2,2,2,1,48,Male, 2+ Races (NH),NY,Time of Arrest,"('Marijuana',)",Marijuana,45-54
1,0,1,1,1,0,1,0,0,0,2,2,2,0,1,28,Male, Hispanic,CA,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,31,Female, 2+ Races (NH),MS,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,25-34
2,0,1,1,1,1,1,2,2,2,1,2,2,2,1,39,Female, White (NH),MO,Time of Arrest,"('Marijuana',)",Marijuana,35-44
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,37,Male, Black (NH),CO,Past 30 days,"('Marijuana',)",Marijuana,35-44
1,1,1,1,1,1,1,0,0,0,2,2,2,2,1,35,Female, White (NH),WY,Time of Arrest,"('Marijuana', 'Alcohol')",More than one drugs,35-44
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,23,Male, American Indian/Alaska Native (NH),AK,More than a year ago,"('Marijuana', 'Alcohol')",More than one drugs,18-24
1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,22,Male, Black (NH),AK,Time of Arrest,"('Marijuana', 'Cocaine', 'Alcohol')",More than one drugs,18-24
2,1,1,1,1,1,1,0,0,0,2,2,2,2,1,28,Male, White (NH),GA,Time of Arrest,"('Marijuana',)",Marijuana,25-34
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,30,Female, White (NH),NC,More than a year ago,"('Alcohol',)",Alcohol,25-34
1,0,1,0,2,0,1,0,0,0,2,0,0,0,2,37,Male, 2+ Races (NH),MO,Time of Arrest,"('Alcohol',)",Alcohol,35-44
1,1,1,0,1,1,1,0,2,2,1,0,1,1,1,50,Male, Black (NH),MD,Time of Arrest,"('Alcohol',)",Alcohol,45-54
1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,23,Male, White (NH),OH,Time of Arrest,"('Heroin', 'Alcohol')",More than one drugs,18-24
2,1,1,2,2,1,1,2,1,1,1,2,2,2,1,23,Male, Uncategorized - Missing,WA,Past 30 days,"('Heroin',)",Heroin,18-24
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,Male, Hispanic,CA,More than a year ago,"('Alcohol',)",Alcohol,35-44
2,0,1,1,1,0,1,0,0,0,2,1,1,0,1,28,Male, Black (NH),NY,Time of Arrest,"('Marijuana', 'Cocaine')",More than one drugs,25-34
